Gene,Allele,Locus Name,Allele Name,Synonyms of Allele,Phenoptype,Chromosome,Marker Type,Mutant Type,
(K),--, , , ,Inhibits modifiers; permitting expression of tangerine gene; interacts with yellow fruit flesh gene., ,Morph, ,
a,--,anthocyaninless, ,a1,Stems and leaves always lack anthocyanin.,11,Morph,SPON,
a,prov2,anthocyaninless,provisional 2,a,Stems and leaves always lack anthocyanin.,11,Morph,CHEM,
a,prov3,anthocyaninless,provisional 3,a,Stems and leaves always lack anthocyanin.,11,Morph,CHEM,
aa,--,anthocyanin absent, , ,Complete absence of anthocyanin in all parts,2,Morph,SPON,
Abg,--,Aubergine, , ,"Fruit epidermis purple, particularly on shoulder and where exposed to direct light; also enhanced by wounding.",10,Morph,SPON,
abi,--,aborted inflorescence, , ,Inflorescences reduced to  an abortive 2-3 mm structure., ,Morph,CHEM,
ac,--,apocarpous, , ,Highly deformed multicarpellate and apocarpous fruits, ,Morph, ,
Aco-1,1,Aconitase-1, , , ,12,Isozyme,SPON,
Aco-1,2,Aconitase-1, , , ,12,Isozyme,SPON,
Aco-1,3,Aconitase-1, , , ,12,Isozyme,SPON,
Aco-2,1,Aconitase-2, , , ,7,Isozyme,SPON,
Aco-2,2,Aconitase-2, , , ,7,Isozyme,SPON,
acr,--,acroxantha, ,acr1,"Smaller plant; short internodes; rugose, dull, light green leaves, turn yellow starting at tip.",7,Morph,RAD,
acu-2,--,acumbens-2, ,acu2,"Short, rounded cotyledons; short, compacted leaves.", ,Morph, ,
ad,--,Alternaria alternata resistance, , ,Resistance to Alternaria collar rot., ,Disease,SPON,
Adh-1,1,Alcohol dehydrogenase-1, , , ,4,Isozyme,SPON,
Adh-1,2,Alcohol dehydrogenase-1, , , ,4,Isozyme,SPON,
Adh-1,n,Alcohol dehydrogenase-1, , , ,4,Isozyme,CHEM,
Adh-2,1,Alcohol dehydrogenase-2, , , ,6,Isozyme,SPON,
adp,--,adpressa, , ,Plant small and decumbent with short internodes and leaves.,7,Morph,RAD,
adp-2,--,adpressa-2, ,adp2,"Prostrate plant habit; short internodes and leaves; rugose, bright green pinnae.", ,Morph, ,
adu,--,adusta, ,adu1,"Small plants, proportionately reduced; progressive necrosis from older to younger leaves.", ,Morph,RAD,
adu-2,--,adusta-2, ,adu2,"Stems and leaves shortened, develop progressive necrosis; small, rounded, rugose pinnae", ,Morph, ,
adu-3,--,adusta-3, ,adu3,"Slightly smaller leaves, shiny above, develop progressive necrosis.", ,Morph, ,
ae,--,entirely anthocyaninless, ,a332,Completely free of anthocyanin.,8,Morph,RAD,
ae,2,entirely anthocyaninless, , ,Completely free of anthocyanin.,8,Morph,CHEM,
ae,afr,entirely anthocyaninless,fragilis,"afr, ap","Anthocyanin absent; small, brittle, fragile plants; leaves wilt in daytime.",8,Morph,RAD,
ae,prov3,entirely anthocyaninless,provisional 3,ae,Lacks anthocyanin in the seedling stem.,8,Morph,CHEM,
aeg,--,aegrota, , ,"Brown necrotic layer spreads over leaves, which die prematurely.", ,Morph,RAD,
aeg-2,--,aegrota-2, ,aeg2,Dainty leaves turn yellow and die early., ,Morph, ,
aer,--,aerial roots, , ,Adventitious roots on stem from soil level to considerable height above., ,Morph,SPON,
aer-2,--,aerial roots-2, , ,Abundance of root initials along the stems., ,Morph,SPON,
af,--,anthocyanin free, ,a325,Completely free of anthocyanin; lacks glandular hairs.,5,Morph,RAD,
afe,--,afertilis, ,afe1,"Small plant; short internodes, leaves; dainty, yellowish, mostly keeled pinnae; poor fruit set; heterozygote intermediate.", ,Morph,RAD,
afl,--,albifolium, ,af,Seedling very slow; cotyledons white; leaves becoming normal except for gray flecks; later growth nearly normal.,4,Morph,SPON,
afl-2,--,albifolium-2, , ,"Cotyledons whitish light green; pinnae with irregular yellow-white areas; green-white stripes on the stems and petioles; foliage of mature plant grey-green with whitish blotches; plants erect, 1/3 - 2/5 normal size. Slightly dominant, the heterozygote attaining 2/3 -3/4 normal size.", ,Morph, ,
Aft,--,Anthocyanin fruit, ,Af,"Anthocyanin in green and ripe fruit; environmentally sensitive, absent when shaded.",10,Morph,SPON,
ag,--,anthocyanin gainer, , ,"Anthocyanin absent except on cotyledons and lower sides of leaves; anthocyanin accumulation more intense under growth retarding conditions; under low temperature and low light intensity, foliage becomes yellowish, webs of corolla-like tissue appear between segments of the calyx, and fertility may be reduced.",10,Morph,SPON,
ag,(1k),anthocyanin gainer,Knowles,ag^3,Anthocyanin absent except on cotyledons and lower sides of leaves.  (Indistinguishable from ag).,10,Morph,RAD,
ag,(1s),anthocyanin gainer,Stubbe's,ag^2,Anthocyanin absent except on cotyledons and lower sides of leaves.,10,Morph,SPON,
ag,(2k),anthocyanin gainer,Knowles 2nd,ag^4,Anthocyanin absent except on cotyledons and lower sides of leaves.,10,Morph, ,
ag,2,anthocyanin gainer, , ,Completely free of anthocyanin.,10,Morph,SPON,
ag,k,anthocyanin gainer,Kosala's, ,"As for ag, purple pigment appears on cotyledons and lower sides of leaves when growth is slow.",10,Morph,SPON,
ag,s,anthocyanin gainer,Solanum, ,Typical ag phenotype.,10,Morph,SPON,
ag-2,--,anthocyanin gainer-2, , ,"As for ag, purple pigment appears on cotyledons and lower sides of leaves when growth is slow.", ,Morph,SPON,
ags-2,--,aegrescens-2, , ,"Plant 1/3 normal size; reduced branching; leaves shortened; pinnae small, olive green, becoming necrotic at tips.", ,Morph, ,
ah,--,Hoffman's anthocyaninless, ,"ao, a337",Completely free of anthocyanin,9,Morph,SPON,
ah,prov2,Hoffman's anthocyaninless,provisional 2,ah,Completely free of anthocyanin,9,Morph,CHEM,
ah,prov3,Hoffman's anthocyaninless,provisional 3,ah,Completely free of anthocyanin,9,Morph,CHEM,
ah,prov4,Hoffman's anthocyaninless,provisional 4,ah,Completely free of anthocyanin,9,Morph,CHEM,
ah,prov5,Hoffman's anthocyaninless,provisional 5,ah,Completely free of anthocyanin,9,Morph,CHEM,
ah,prov6,Hoffman's anthocyaninless,provisional 6,ah,Completely free of anthocyanin,9,Morph,SPON,
ah,prov7,Hoffman's anthocyaninless,provisional 7, ,Completely free of anthocyanin,9,Morph,CHEM,
ai,--,incomplete anthocyanin, ,a342,"Early seedling stem has trace of anthocyanin, soon lost.", ,Morph,RAD,
ai,2,incomplete anthocyanin, ,"am, a340","Early seedling stem has trace of anthocyanin, soon lost.", ,Morph,RAD,
al,--,anthocyanin loser, ,a2,"Anthocyanin pigmentation of medium intensity appears for ten to twenty days after seedling emergence, thereafter disappearing except for islands near the leaf nodes; within three days after this process begins, the stem becomes entirely green and remains so for the rest of the life of the plant..",8,Morph,SPON,
al,pu-2,anthocyanin loser,pulvinata-2,pu-2,"Semispherical bush, anthocyaninless; short internodes.",8,Morph,RAD,
al-2,--,anthocyanin loser-2, , ,No anthocyanin in cotyledons and primary leaves; little anthocyanin in hypocotyl; internodes and leaves shorted; pinnae and interpinnae modified., ,Morph, ,
ala,--,albina, ,"ala1, alb1",White or cream-colored cotyledons., ,Morph, ,
ala-2,--,albina-2, ,"alb2, ala2",White or cream-colored cotyledons., ,Morph, ,
ala-3,--,albina-3, ,"ala3, alb3",White or cream-colored cotyledons., ,Morph, ,
ala-4,--,albina-4, ,"ala4, alb4",White or cream-colored cotyledons; lethal., ,Morph,RAD,
alb,--,albescent, , ,White variegation promoted by low temperatures.,12,Morph,SPON,
alb,prov2,albescent,provisional 2,alb,Same as alb.,12,Morph,CHEM,
alc,--,alcobaca, , ,Greatly delayed fruit ripening processes.,10,Morph,SPON,
alu,--,alutacea, ,alu1,"Small plant, yellowish foliage.", ,Morph,RAD,
alv,--,alvoviridis, ,"alb, alb1","Whitish green cotyledons, pinnae; strong anthocyanin in stems, veins.", ,Morph, ,
