Gene	Locus Name	Phenoptype	Chromosome
aa	anthocyanin absent	Complete absence of anthocyanin in all parts	2
a	anthocyaninless	Stems and leaves always lack anthocyanin.	11
Abg	Aubergine	Fruit epidermis purple, particularly on shoulder and where exposed to direct light; also enhanced by wounding.	10
abi	aborted inflorescence	Inflorescences reduced to  an abortive 2-3 mm structure.	 
ac	apocarpous	Highly deformed multicarpellate and apocarpous fruits	 
Aco-1	Aconitase-1	 	12
Aco-2	Aconitase-2	 	7
acr	acroxantha	Smaller plant; short internodes; rugose, dull, light green leaves, turn yellow starting at tip.	7
acu-2	acumbens-2	Short, rounded cotyledons; short, compacted leaves.	 
ad	Alternaria alternata resistance	Resistance to Alternaria collar rot.	 
Adh-1	Alcohol dehydrogenase-1	 	4
Adh-2	Alcohol dehydrogenase-2	 	6
adp-2	adpressa-2	Prostrate plant habit; short internodes and leaves; rugose, bright green pinnae.	 
adp	adpressa	Plant small and decumbent with short internodes and leaves.	7
adu-2	adusta-2	Stems and leaves shortened, develop progressive necrosis; small, rounded, rugose pinnae	 
adu-3	adusta-3	Slightly smaller leaves, shiny above, develop progressive necrosis.	 
adu	adusta	Small plants, proportionately reduced; progressive necrosis from older to younger leaves.	 
ae	entirely anthocyaninless	Anthocyanin absent; small, brittle, fragile plants; leaves wilt in daytime.	8
ae	entirely anthocyaninless	Completely free of anthocyanin.	8
ae	entirely anthocyaninless	Lacks anthocyanin in the seedling stem.	8
aeg-2	aegrota-2	Dainty leaves turn yellow and die early.	 
aeg	aegrota	Brown necrotic layer spreads over leaves, which die prematurely.	 
aer-2	aerial roots-2	Abundance of root initials along the stems.	 
aer	aerial roots	Adventitious roots on stem from soil level to considerable height above.	 
af	anthocyanin free	Completely free of anthocyanin; lacks glandular hairs.	5
afe	afertilis	Small plant; short internodes, leaves; dainty, yellowish, mostly keeled pinnae; poor fruit set; heterozygote intermediate.	 
afl-2	albifolium-2	Cotyledons whitish light green; pinnae with irregular yellow-white areas; green-white stripes on the stems and petioles; foliage of mature plant grey-green with whitish blotches; plants erect, 1/3 - 2/5 normal size. Slightly dominant, the heterozygote attaining 2/3 -3/4 normal size.	 
afl	albifolium	Seedling very slow; cotyledons white; leaves becoming normal except for gray flecks; later growth nearly normal.	4
Aft	Anthocyanin fruit	Anthocyanin in green and ripe fruit; environmentally sensitive, absent when shaded.	10
ag-2	anthocyanin gainer-2	As for ag, purple pigment appears on cotyledons and lower sides of leaves when growth is slow.	 
ag	anthocyanin gainer	Anthocyanin absent except on cotyledons and lower sides of leaves.	10
ag	anthocyanin gainer	Anthocyanin absent except on cotyledons and lower sides of leaves; anthocyanin accumulation more intense under growth retarding conditions; under low temperature and low light intensity, foliage becomes yellowish, webs of corolla-like tissue appear between segments of the calyx, and fertility may be reduced.	10
ag	anthocyanin gainer	Anthocyanin absent except on cotyledons and lower sides of leaves.  (Indistinguishable from ag).	10
ag	anthocyanin gainer	As for ag, purple pigment appears on cotyledons and lower sides of leaves when growth is slow.	10
ag	anthocyanin gainer	Completely free of anthocyanin.	10
ag	anthocyanin gainer	Typical ag phenotype.	10
ags-2	aegrescens-2	Plant 1/3 normal size; reduced branching; leaves shortened; pinnae small, olive green, becoming necrotic at tips.	 
ah	Hoffman's anthocyaninless	Completely free of anthocyanin	9
ai	incomplete anthocyanin	Early seedling stem has trace of anthocyanin, soon lost.	 
al-2	anthocyanin loser-2	No anthocyanin in cotyledons and primary leaves; little anthocyanin in hypocotyl; internodes and leaves shorted; pinnae and interpinnae modified.	 
ala-2	albina-2	White or cream-colored cotyledons.	 
ala-3	albina-3	White or cream-colored cotyledons.	 
ala-4	albina-4	White or cream-colored cotyledons; lethal.	 
ala	albina	White or cream-colored cotyledons.	 
al	anthocyanin loser	Anthocyanin pigmentation of medium intensity appears for ten to twenty days after seedling emergence, thereafter disappearing except for islands near the leaf nodes; within three days after this process begins, the stem becomes entirely green and remains so for the rest of the life of the plant..	8
al	anthocyanin loser	Semispherical bush, anthocyaninless; short internodes.	8
alb	albescent	Same as alb.	12
alb	albescent	White variegation promoted by low temperatures.	12
alc	alcobaca	Greatly delayed fruit ripening processes.	10
alu	alutacea	Small plant, yellowish foliage.	 
alv	alvoviridis	Whitish green cotyledons, pinnae; strong anthocyanin in stems, veins.	 
ama	albomarginata	Shorter internodes; leaves small and spotted with yellow-green or yellow; flowers small and petals narrow with white edges.	 
Am	Alfalfa mosaic	Resistance to alfalfa mosaic virus	6
an-2	anantha-2	Inflorescence highly branched, terminates in very compact ovary-like masses of tissue; aborted flowers.	 
an-3	anantha-3	Leaves small, light green; inflorescence indefinitely ramifying, no normal flowers, resembling cauliflower; completely sterile.	 
ana	angustata	Shortened leaves, stems; pinnae small, narrow, pointed; smaller flowers, narrow petals.	 
an	anantha	Inflorescence exceptionally large and excessively branched; no flowers appear, instead the axes of the inflorescences ramify into smaller and smaller segments, continuing such growth throughout the season; flowers reduced to small vestigial structures; heterozygotes are somewhat intermediate.	 
ang-2	angustifolia-2	Smaller, compact, slow-growing plant; narrow, light-green pinnae.	 
anr	antirrhinum	Fruit elongated with hollow tip from which epiglotis extends resembling a snapdragon flower.	6
ant	aurantia	Short thick stems; many short side shoots; narrow, rugose, light green pinnae; light orange fruit; colorless pericarp.	 
anu	angusta	Dark gray-green pinnae narrowed to 1/3 normal width; short leaves.	 
ap	apetalous	Corolla reduced or absent; pollen scarce and nonfunctional	11
apl	applanata	Broad, spreading habit; long, laxly pinnate leaves; heterozygote intermediate.	 
apn	albo-punctata	Fine white speckling uniformly on cotelydons; mature leaves small, wilty; tiny flowers.	11
Aps-1	Acid phosphatase-1	 	6
Aps-2	Acid phosphatase-2	 	8
ar	arrecta	Small, compact plants; leaves yellow-green, virescent.	 
are	anthocyanin reduced	Almost no anthocyanin until fruits set, then moderate amount in young foliage.	2
ari	aridifolia	Plants 1/3 normal size; cotyledons small, pointed, dull dark grey-green; die prematurely.	 
as-2	asynaptic-2	Asynaptic meiosis; high pollen and ovule sterility.	 
as-3	asynaptic-3	Asynaptic meiosis; high pollen and ovule sterility.	 
as-4	asynaptic-4	Asynaptic meiosis; high pollen and ovule sterility.	 
as-5	asynaptic-5	asynaptic meiosis; high pollen and ovule sterility.	 
as-6	asynaptic-6	Delayed and asynaptic meiosis; chromatin degeneration; possibly two loci involved.	 
as-7	asynaptic-7	Desynaptic meiosis, reduced pollen fertility.	 
as	asynaptic	Asynaptic meiosis; high pollen and ovule sterility.	 
Asc	Alternaria stem canker resistance	Resistance to Alternaria stem canker	3
at	apricot	Flesh of ripe fruit yellow with pinkish blush; carotenoid content similar to r/r.; corolla pale yellow, nearly white.	5
atn	attenuata	Narrow, pointed leaves, yellow-green, purple below; rigid cylindrical habit; thin shoots.	 
atv	atroviolacium	Excess anthocyanin on leaves, stems, and fruits.	7
au	aurea	 	1
au	aurea	Bright yellow cotyledons and leaves; seedling etiolates; plant vigorous.	1
au	aurea	Bright yellow cotyledons and leaves; some times whitish; corolla pale yellow; moderately vigorous in condine red; seedling etiolates; plant vigorous.	1
au	aurea	Bright yellow foliage, often whitish; pale yellow corolla and stigma. Very weak.	1
au	aurea	Elongated hypocotyl; yellowish  foliage; smaller, slow-growing plant, dying prematurely.	1
auc	aucta	Few branches; leaves broad, rounded, later becoming blistered, dark green; number of flowers and fruits reduced.	 
aur	aurantiaca	Small, pointed, yellowish light-green pinnae; orange fruit.	 
aus	austera	Plants always 1/3 to 2/3 normal size; pinnae finely divided, in some cases bent upwards; foliage darker and duller than normal.	 
aut	aureata	Vireescent, flush of gold near growing point in early development, not detectable in older plants.	3
auv	aureate virescent	Seedling 'gold dust' virescence; leaf segments pointed, sometimes fimbriate. Mature plant nearly normal.	10
avi	albovirens	Smaller plant; foliage variously variegated yellow, white, grey-green; reduced fruit set.	 
aw-2	without anthocyanin-2	No anthocyanin at any stages; reduced growth rate, dense bushy habit.	 
aw	without anthocyanin	Completely free of anthocynanin.  Radiation induced in Money Maker.	2
aw	without anthocyanin	Free of anthocyanin, same phenotype as a.	2
B	Beta-carotene	Corolla tawny orange, fading to white; anthers orange-yellow; increased fruit lycopene.	6
B	Beta-carotene	Crimson fruit; increased fruit lycopene content.	6
B	Beta-carotene	Flesh of ripe fruit orange, due to high B-carotene, low lycopene concentrations.	6
B	Beta-carotene	High B-carotene, low lycopene in ripe fruit.  .	6
bc	bicolor	Young leaves mottled brownish olive normal, later glazed dark green; short internodes; heterozygote intermediate for some characters.	 
Bco	Brilliant corolla	Corolla pigment intensifier.	7
be	blue-green	Small plant with blue-green leaves.	 
bg	bursting resistance	Resistance of fruit to bursting.	 
bi	bifurcate inflorescence	With f and j causes extreme fasciation of the &quot;ring type&quot;.	11
bip-2	bipinnata-2	Slender, pointed, light gray-green cotyledons; doubly pinnate, rugose leaves.	 
bip	bipinnata	Leaves highly divided, with smaller, acute segments.	2
Bk-2	Beaked-2	Sharp point at stylar end of fruit	 
bk	beaked	Fruits with sharp points at stylar end.	2
bks	black seed	Black seed testa, reduced germination.	11
bl	blind	Determinant growth; few flowered inflorescences; fasciated flowers; enlarged, leafy calxy; less extreme than bl.	11
bl	blind	Determinate habit; firm, strongly uprolled pinnae; fasciated flowers and fruits; expression stronger in field.	11
bl	blind	Growth of axis terminates in single flower or inflorescence as if an extremem expression of sp (self-pruning); no buds in axils of leaves or cotyledons; late season adventitious shoots may emerge from the midribs; expression stronger in field than greenhouse.	11
bls	baby lea syndrome	Anthocyaninless; restricted root system; short internodes, leaves, and trusses	3
Bnag-1	Beta-N-acetyl-D-glucosaminidase-1	 	1
bn	blunt	Stamens absent, rarely present, with functional pollen, in greenhouse; fewer blunt leaflets; with sp:+ 6-10 leafs between inflorescences.	 
bn	blunt	Stamens absent, rarely present, with functional pollen, in greenhouse. Usually petaloid stamens adnate to pistil; leaf segments obtuse	 
br	brachytic	Internodes shortened, resulting in low stature and compact growth habit; by the third-leaf stage, br plants are only half as tall as +; differs from dwarf (d) in having normal-colored, nonrugose foliage, and normal instead of sessile and compact leaf segments.	1
brt-2	bushy root-2	severely stunted growth (1/20) dense bushy growth of twisted roots.	4
brt	bushy root	Radical branches early; radical and root profusely branched; root tips twisting upwards, not dense growth.	12
bs-2	brown seed-2	Brown seed color governed by genotype of endosperm.	7
bs-3	brown seed-3	Brown seed color determined by genotype of endosperm.	 
bs-4	brown seed-4	Brown seed color controlled by genotype of endosperm.	 
bs	brown seed	Brown seed color behaving as endosperm trait.	1
Bt	bursting digenic inheritance	Susceptibility to fruit bursting.	 
btl	brittle stem	Growth ceases with first flowering; stems brittle, with progressive defoliation; temperature-sensitive and expressed only under field conditions; B inefficient.	 
bu	bushy	Hypocotyl normal, but cotyledons cuneate and held close to the plumule; first three internodes very short, resulting in dwarfing of the seedling to half height of normal; in later stages, internodes  shortened, with excessive production of side branches, giving a bushy appearance; all parts of inflorescence foreshortened; abscission joint of pedicel imperfect and shifted towards calyx.	8
bu	bushy	Internodes and inflorescences shortened; long petioles.	8
bu	bushy	Internodes and inflorescences shortened; long petioles.  Duplicate genes determining character similar to bu.	8
bu	bushy	Internodes and inflorescences shortened; long petioles.  Phenotype like bu except leaves longer, more lax; heterozygote intermediate in some traits.	8
bul	bullata	Leaf surface blistered and chlorotic with a network of darker veins; short internodes.	 
buo	bullosa	Plants and seedlings larger in all parts; broad and rugose pinnae.	 
Bw-1	Bacterial wilt-1	 	6
Bw-2	Bacterial wilt-2	 	7
Bw-4	Bacterial wilt-4	 	4
Bw-5	Bacterial wilt-5	 	6
car-2	carinata-2	Smaller plant; slender stems; smaller pinnae, nearly entire margin.	 
car	carinata	Shortened, keeled pinnae, dark gray-green color; deformed flowers; elongated fruit.	 
cb-2	cabbage leaf-2	Larger plant parts; leaves epinastic and blistered; broad, rugose leaves, similar to dwarf.	 
cb	cabbage	Compact habit; leaves large and dark green; flowers inconspicuous; corolla segments narrow; pollen and ovules partially sterile due to irregular meiosis; fruit with fewer locules.	1
ccf	cactiflora	Flower greatly fasciated; and roecium gynoecium and green tissues fused and distorted, enlarging into fruitlike structure; complete male and female sterility.	 
cd	condensata	Seedling small; internodes shortened; leaf light grey-green with narrow, keeled segments; fruit round and relatively large.	 
ce	cernua	Cotyledons lightly dotted in whitish yellow-green; lax, inclined plant.	 
Cf-1	Cladosporium fulvum resistance-1	Resistance to race 1 and 3 of Cladosporium fulvum.	1
Cf-1	Cladosporium fulvum resistance-1	Resistance to specific races of Cladosporium fulvum.	1
Cf-2	Cladosporium fulvum resistance-2	Resistance to  races of  Cladosporium fulvum.	6
Cf-3	Cladosporium fulvum resistance-3	Resistance to specific races of  Cladosporium fulvum	11
Cf-4	Cladosporium fulvum resistance-4	Resistance to specific races of Cladosporium fulvum.	1
Cf-6	Cladosporium fulvum resistance-6	Resistance to specific races of Cladosporium fulvum.	 
Cf-7	Cladosporium fulvum resistance-7	Resistance to specific races of Cladosporium fulvum.	 
Cf-9	Cladosporium fulvum resistance-9	Resistance to specific races of Cladosporium fulvum.	1
cfa	conferta	Very small, compact bush; strongly shortened internodes, young leaves.	 
Cf-?	Cladosporium fulvum resistance	Resistance to specific races of Cladosporium fulvum	1
cg	congesta	Small, dense bush; late growth retardation; short internodes; pointed primary leaves.	 
ch	chartreuse	Greenish-yellow subnormal petals; reduced fertility.	8
chln	chloronerva	Upper leaves smaller and chlorotic interveinally; strong graft response.	1
chrs	chrysanthemum sterile	Flowers fascicled  6cm across; many small pale yellow petals; stamens dialytic and without pollen; fruits deformed, orange-red fruits with brown sectors; poor fertility.	 
ci	cincta	Small, irregular bush; many side shoots of equal length from lower leaf axils.	 
cir	circumsaepta	Rounded, light gray-green pinnae, downrolled margin.	 
cit	citriformis	In pm stock; Plant reaches 1/3 - 2/5 typical size; half erect, weakly branched; foliage color grey-green; terminal segment of primary leaves long and narrow; older leaves serrated; lemon shaped fruit with conspicuous stylar scar.	 
cjf	conjunctiflora	Flowers joined in pairs or triplets, otherwise malformed.	1
ck	corky fruit	Pericarp cracked, exposed tissues becoming brown and leathery.	 
cl-2	cleistogamous-2	Flowers open only slightly; reduced fertility.	6
cla	clara	Yellowish-green leaf color, purple veins and petioles; incompletely dominant.	 
clau	clausa	Partly cleistogamous; leaves rugose, excessively divided; leaf lamina foreshortened, long petioled, flattened fruits.	4
clau	clausa	Partly cleistogamous; leaves rugose, excessively divided; leaf lamina foreshortened, long petioled, flattened fruits. Original description: cotyledons distinctively veined, leaflets slightly convex and twisted, shallow lobes; growth normal, fertility reduced.	4
clau	clausa	Pinnae margins deeply incised, dentations acute.	4
Cl	Cleistogamous	Flowers fail to open.	 
cle	collecta	Reduced growth rate; internodes shortened; small compact bush habit; leaf segments large, rounded, foliolules fewer.	 
cls	clarescens	Foliage light yellow green early, becoming whitish green and blistered later, brilliant yellow green virescent; plants 1/4  typical size; growth very weak in field, setting fruits only in greenhouse.	 
clt-2	coalita-2	Terminal pinnae large, second order pinnae few and masked by 1st order pinnae, little serration.	 
clt	coalita	Size and habit typically spl; primary leaves with entire end segments and only tiny laterals; mature leaves typically 5-segmented through fusion with end segment; segments always entire; resembles but is not allelic to sf.	 
cma	commutata	dwarf with bright green foliage	 
cm	curly mottled	Strong virus-like mottling and distortion of leaves and abortion of flowers.  Highly sensitive to environment, particularly temperature; highest expression and nearly complete sterility under low light, cool conditions of winter, whereas phenotype essentially normal in mid-summer.	4
Cmm	Clavibacter michiganensis resistance	Resistance to Clavibacter michiganensis.	4
Cmr	Cucumber mosaic resistance	Resistance to isolate 113A of cucumber mosaic virus, from L. chilense.	12
cna	citrina	Foliage weak grey-green; petals light yellow; anthers greenish yellow.	 
cn	cana	Cotelydons and leaves gray-green especially on undersides; tiny and unbranched plants.	3
Cnr	Colorless nonripening	Fruit exhibit greatly reduced ethylene production, inhibited softening,  yellow skin, and nonpigmented pericarp due to the absence of carotenoid pigments in the pericarp tissue.  The mutant phenotype is not reversed by exposure to exogenous ethylene.	2
co-2	cochlearis-2	Small leaves; deeply crenate, initially gray-green pinnae.	 
coa	corrotundata	Plant small; pinnae fewer, broad, rounded, darker; flower parts short and broad.	6
co	cochlearis	Reduced gray-green leaves with concave spoon-shaped leaflets; small plants of normal habit.	1
com-2	complicata-2	Very small plant; short leaves, internodes; few side shoots; purplish shoot tips.	 
com	complicata	Small, dainty, nearly unbranched plants; shortened light gray-green leaves.	1
com	complicata	Smaller, weakly branched erect plant; firm and keeled pinnae.	1
con-2	convalescens-2	Narrow cotyledons, dull light gray-green foliage, weakly yellow-green in growth zones.	 
con	convalescens	Yellow-green, paler at growing point; variably depressed growth.	3
cor	coriacea	Smaller, unbranched plant; all parts reduced; short leaves with plicate segments.	 
cpa	composita	Large, strongly branched, leafy inflorescence; jointless pedicel.	 
cp	compacta	Short leaves, smaller, dark green pinnae.	 
cpf-2	cupuliformis-2	Phenotype similar to cpf.	 
cpf-3	cupuliformis-3	Cotyledons adnate to form a cup; no primary leaves develop; maintained via heterozygotes.	 
cpf	cupuliformis	Cotyledons fused, cup-shaped, becoming coarse and enlarged later; transition to mature leaves without primary leaves; plants die at 3-4 leaf stage; line maintained via heterozygotes.	 
c	potato leaf	Number of leaf segments reduced	6
