gene1	des1	chr1	phen1	gene2	alt_gene2	des2	chr2
Pto	Pseudomonas syringae pv tomato resis.	5	Resistance to Pseudomonas syringae pv. Tomato, race zero sensitive to insecticide Fenthion.	pto		Belongs to the protein kinase superfamily.; Protein kinase	5
Pto	Pseudomonas syringae pv tomato resis.	5	Resistance to Pseudomonas syringae pv. tomato.	pto		Belongs to the protein kinase superfamily.; Protein kinase	5
Pto	Pseudomonas syringae pv tomato resis.	5	Resistance to Pseudomonas syringae without Fenthion sensitivity	pto		Belongs to the protein kinase superfamily.; Protein kinase	5
Pts	Petroselinum	6	Leaves resemble plain parsley foliage in being excessively divided (to the 3rd and 4th order in homozygotes, heterozygotes are intermediate).	PTS		KNOX1; KNOX2	6
Tm-2	Tobacco mosaic virus resistance-2	9	High-level resistance to many strains of tobacco mosaic virus.	tm-2		AAA; Belongs to the disease resistance NB-LRR family.	9
ah	Hoffman's anthocyaninless	9	Completely free of anthocyanin	AH		BHLH (basic helix-loop-helix); Contains 1 basic helix-loop-helix (bHLH) domain.	9
chln	chloronerva	1	Upper leaves smaller and chlorotic interveinally; strong graft response.	CHLN	CLN	3 S-adenosyl-L-methionine = 3 S-methyl-5'-thioadenosine + nicotianamine.; Belongs to the nicotianamine synthase (NAS)-like family.; Expression independent of the iron status.; Homomultimer.; In chloronerva; has no activity.; Leaves and roots.; Nicotianamine synthase; Synthesizes nicotianamine, a polyamine that serves as a sensor for the physiological iron status within the plant, and/or might be involved in the transport of iron.	1
d	dwarf	2		CYP85A1	D	Belongs to the cytochrome P450 family.; Catalyzes the C6-oxidation step in brassinosteroids biosynthesis. Converts 6-deoxocastasterone to castasterone. May also convert 6-deoxoteasterone to teasterone, 3-dehydro-6-deoxoteasterone to 3-dehydroteasterone, and 6-deoxotyphasterol to typhasterol, but not castasterone to brassinolide.; Cytochrome P450 85A1; Expressed in sub-meristematic regions of shoot and root apexes, in zones undergoing lateral root formation, in fruits, and in all flower parts, with a high expression in young flower buds and at the joint in the pedicel.; Helical; Iron (heme axial ligand); Strong expression in the locular jelly during seed development.	2
d	dwarf	2	All parts foreshortened; leaves dark and rugose.	CYP85A1	D	Belongs to the cytochrome P450 family.; Catalyzes the C6-oxidation step in brassinosteroids biosynthesis. Converts 6-deoxocastasterone to castasterone. May also convert 6-deoxoteasterone to teasterone, 3-dehydro-6-deoxoteasterone to 3-dehydroteasterone, and 6-deoxotyphasterol to typhasterol, but not castasterone to brassinolide.; Cytochrome P450 85A1; Expressed in sub-meristematic regions of shoot and root apexes, in zones undergoing lateral root formation, in fruits, and in all flower parts, with a high expression in young flower buds and at the joint in the pedicel.; Helical; Iron (heme axial ligand); Strong expression in the locular jelly during seed development.	2
d	dwarf	2	Allele of phenotype intermediate between d and d^x.	CYP85A1	D	Belongs to the cytochrome P450 family.; Catalyzes the C6-oxidation step in brassinosteroids biosynthesis. Converts 6-deoxocastasterone to castasterone. May also convert 6-deoxoteasterone to teasterone, 3-dehydro-6-deoxoteasterone to 3-dehydroteasterone, and 6-deoxotyphasterol to typhasterol, but not castasterone to brassinolide.; Cytochrome P450 85A1; Expressed in sub-meristematic regions of shoot and root apexes, in zones undergoing lateral root formation, in fruits, and in all flower parts, with a high expression in young flower buds and at the joint in the pedicel.; Helical; Iron (heme axial ligand); Strong expression in the locular jelly during seed development.	2
d	dwarf	2	Extreme dwarf; more stunted than d^x; leaves reduced to small, dark green globs of curled, rugose tissue; flowers reduced, with tiny corolla segments.	CYP85A1	D	Belongs to the cytochrome P450 family.; Catalyzes the C6-oxidation step in brassinosteroids biosynthesis. Converts 6-deoxocastasterone to castasterone. May also convert 6-deoxoteasterone to teasterone, 3-dehydro-6-deoxoteasterone to 3-dehydroteasterone, and 6-deoxotyphasterol to typhasterol, but not castasterone to brassinolide.; Cytochrome P450 85A1; Expressed in sub-meristematic regions of shoot and root apexes, in zones undergoing lateral root formation, in fruits, and in all flower parts, with a high expression in young flower buds and at the joint in the pedicel.; Helical; Iron (heme axial ligand); Strong expression in the locular jelly during seed development.	2
d	dwarf	2	Resembles dwarf (d) but more extreme in all respects; growth is very slow; all parts of plant reduced in size and most organs modified in the direction of shorter and broader shape; leaves very dark green, the surface coarsely bullate and midrid twisted; plants are moderately fertile; recessive to d and to +.	CYP85A1	D	Belongs to the cytochrome P450 family.; Catalyzes the C6-oxidation step in brassinosteroids biosynthesis. Converts 6-deoxocastasterone to castasterone. May also convert 6-deoxoteasterone to teasterone, 3-dehydro-6-deoxoteasterone to 3-dehydroteasterone, and 6-deoxotyphasterol to typhasterol, but not castasterone to brassinolide.; Cytochrome P450 85A1; Expressed in sub-meristematic regions of shoot and root apexes, in zones undergoing lateral root formation, in fruits, and in all flower parts, with a high expression in young flower buds and at the joint in the pedicel.; Helical; Iron (heme axial ligand); Strong expression in the locular jelly during seed development.	2
